Month,line,num_passengers,average_delay_time
2015-01,2,4482149.6,1.11
2015-01,6,7282062,1.2
2015-01,5,4127289.3,1.17
2015-01,3,3338797.5,0.82
2015-01,S 42nd,1462829.7,0.94
2015-01,7,4665763.6,0.92
2015-01,4,5225771,1.05
2015-01,1,4861190.9,1.27
2015-02,S 42nd,1688694.2,0.46
2015-02,2,5051094.8,1.31
2015-02,7,4030269.6,0.92
2015-2,3,3783489,1
2015-02,6,8218146.3,1.63
2015-02,4,5825921.2,1.33
2015-02,1,5925282.9,1.26
2015-02,5,4556294,1.58
2015-03,3,4610145.6,0.94
2015-03,4,6978588.5,1.36
2015-03,1,7630738.5,1.11
2015-03,5,5377261.3,1.64
2015-03,2,6052194.5,1.2
2015-03,6,10058762,1.36
2015-03,S 42nd,2063170.2,0.45
2015-3,7,4639444.5,1.1
2015-04,3,4166554.7,0.76
2015-04,S 42nd,1955857.5,0.52
2015-04,7,4424990.3,0.77
2015-04,2,5513864.4,1.02
2015-04,6,8988000.2,1.26
2015-04,4,6344405.6,0.88
2015-04,5,5012385.6,1.07
2015-04,1,6839094.4,0.85
2015-05,S 42nd,1758934.6,0.89
2015-05,3,3810770.5,0.81
2015-05,6,8031714,1.2
2015-05,1,6342386.4,0.9
2015-05,5,4666149.7,1.19
2015-05,7,5276284.2,0.8
2015-05,2,4968683.2,1.04
2015-05,4,5837038.9,1.15
2015-06,2,5333700.3,1.05
2015-06,6,8438407.9,1.29
2015-06,3,4051653.1,0.76
2015-06,5,4956787.5,1.25
2015-06,7,5046025.7,0.77
2015-06,4,6352394.2,1.05
2015-06,S 42nd,1727569.6,0.96
2015-06,1,6531431.6,0.85
2015-07,1,6859218.5,1.14
2015-07,S 42nd,1910046.6,0.52
2015-07,5,4974855,1.14
2015-07,3,4106906.5,0.77
2015-07,2,5384344.8,1.03
2015-07,4,6439422.3,0.93
2015-07,6,8711974.8,1.05
2015-07,7,5257829.3,1.06
2015-08,6,8304209.4,1.16
2015-08,3,4489809.9,0.84
2015-8,5,5516624.7,1.62
2015-08,1,6825408,1.4
2015-08,S 42nd,1960289.1,0.57
2015-08,4,6531735.9,1.38
2015-08,2,5568413.3,1.07
2015-08,7,5038485.8,0.74
2015-09,7,4703252.7,0.98
2015-09,2,4783997.4,1.02
2015-09,S 42nd,1718947.6,0.77
2015-9,6,8065124.5,1.06
2015-09,1,5871446.3,0.86
2015-9,5,4652601.5,1.1
2015-09,4,5906001,1.25
2015-09,3,3676613.9,0.72
2015-10,1,7636193.2,0.93
2015-10,7,6263358.2,1.14
2015-10,2,6185214.2,1.05
2015-10,S 42nd,1916472.3,1.04
2015-10,3,4717284.1,0.84
2015-10,5,5763593.3,1.23
2015-10,4,7328812.1,1.12
2015-10,6,10157402.8,1.53
2015-11,1,6524061.3,0.88
2015-11,6,8652542,1.15
2015-11,2,5269432.5,1.01
2015-11,S 42nd,1735854.9,0.39
2015-11,4,6170547.6,1.05
2015-11,3,3937334.9,0.74
2015-11,5,4827128.8,1.18
2015-11,7,4571584.8,0.95
2015-12,7,5708251.5,1.18
2015-12,1,7653504.5,0.93
2015-12,5,5440248.5,1.14
2015-12,6,10239923.1,1.12
2015-12,2,6160713.7,1.26
2015-12,4,7304764.4,0.95
2015-12,S 42nd,2037960.6,0.53
2015-12,3,4646427.5,1
2016-01,7,4388939.3,1.36
2016-01,1,5237592.8,0.94
2016-01,5,4131877.4,1.23
2016-01,6,7096461.3,1.25
2016-01,S 42nd,1535860.1,0.37
2016-01,3,3306537.6,0.8
2016-01,4,5169507.3,1.1
2016-01,2,4383468.7,1.09
2016-02,2,5234067.2,1.19
2016-02,6,8629027.4,1.71
2016-02,5,4839486.9,1.26
2016-02,4,6049012.5,1.17
2016-02,S 42nd,1765616.8,0.43
2016-02,7,5157412,1.52
2016-02,1,6370781.4,0.86
2016-02,3,4006253.4,0.84
2016-03,S 42nd,1973853.9,0.42
2016-03,3,4517082.2,0.9
2016-3,7,5932110.8,0.92
2016-3,4,6994259,1.01
2016-03,1,7286552.5,1.22
2016-03,5,5624504.9,1.08
2016-03,2,5906897.4,1.12
2016-03,6,9620001.7,1.09
2016-04,S 42nd,1900085.9,0.46
2016-04,7,5442320,1.01
2016-04,4,6681411,1.16
2016-04,3,4151803.2,0.93
2016-04,2,5763186.6,1.48
2016-04,5,5316568.2,1.6
2016-04,6,8876535.9,1.13
2016-04,1,6918249.9,1.01
2016-05,6,9539007.3,1.07
2016-5,4,7026772.7,1.43
2016-5,7,5719917,0.95
2016-05,S 42nd,1795287.2,0.47
2016-05,3,4443593.5,0.86
2016-05,2,5787669.1,1.1
2016-05,1,7214705,0.87
2016-05,5,5385558.3,1.25
2016-06,S 42nd,1444318.1,0.38
2016-06,5,4660946.2,1.15
2016-06,4,5984991.7,1
2016-6,3,3752974.8,0.84
2016-06,6,8039349.6,1.06
2016-06,2,5073241.2,1.2
2016-06,1,5837215.5,0.95
2016-06,7,5370899.3,0.93
2016-07,6,8067171.4,1.26
2016-07,S 42nd,1540974.3,0.41
2016-07,4,5882353.3,1.12
2016-07,5,4615365.1,1.27
2016-07,2,4855279.1,1.07
2016-07,7,5058566,0.88
2016-7,3,3741016.5,0.81
2016-07,1,5975943.3,1.05
2016-08,5,5531406,1.17
2016-08,4,6934151.2,1.02
2016-08,3,4478713.7,0.85
2016-08,1,7248465.3,0.87
2016-08,7,6095276,0.81
2016-08,2,5083204.8,1.13
2016-08,S 42nd,2081484.6,0.52
2016-08,6,9569860.1,0.96
2016-09,4,5865473,1.09
2016-09,5,4714047.4,1.34
2016-9,1,5859161,1.08
2016-9,2,4933388.7,1.26
2016-09,6,7923947.6,1.3
2016-9,S 42nd,1687866.6,0.51
2016-09,3,3662879.2,0.99
2016-09,7,5201347.2,0.76
2016-10,S 42nd,2005588,0.4
2016-10,7,6043674,1.1
2016-10,5,5622677,1.28
2016-10,4,7150373,1.46
2016-10,2,5224700.6,1.08
2016-10,1,7414585.4,1.04
2016-10,3,4293157.9,0.9
2016-10,6,9780943.6,1.11
2016-11,4,6915065,1.39
2016-11,3,4361831.4,0.9
2016-11,1,7656383,1.47
2016-11,2,5912079.8,1.18
2016-11,S 42nd,2100630.7,0.48
2016-11,6,9899882,1.47
2016-11,5,5511771.3,1.47
2016-11,7,6034832.2,0.83
2016-12,1,7312645,1.36
2016-12,5,5298836.6,1.34
2016-12,6,9631818.1,1.39
2016-12,3,4236564.9,1.09
2016-12,2,5701969.7,1.41
2016-12,4,6655825.2,1.19
2016-12,7,5797314.6,0.97
2016-12,S 42nd,2025310.3,0.39
2017-01,7,5537885.3,1.23
2017-01,1,6828863.2,0.98
2017-01,4,6424876.4,1.39
2017-01,2,5493764.6,1.38
2017-01,3,4001389.1,1.06
2017-01,5,5158677.2,1.59
2017-01,6,9109188.2,1.38
2017-1,S 42nd,2007887.7,0.4
2017-02,4,5712582.3,1.12
2017-02,7,4989411.4,1.18
2017-02,6,7736127.4,1.15
2017-02,S 42nd,1503578.6,0.38
2017-02,3,3715088.1,0.98
2017-02,1,6424336.4,1.36
2017-02,5,4582401.2,1.32
2017-02,2,5117337.1,1.31
2017-03,Q,4699273.6,1.49
2017-3,S 42nd,1428663,0.49
2017-03,N,3587503.3,1.25
2017-3,4,6690928.2,1.17
2017-03,E,5342643.6,1.1
2017-3,3,4281110,0.96
2017-03,A,6334551.1,1.24
2017-03,6,8802039.5,1.3
2017-03,1,7173584.6,1.12
2017-03,R,5790988.6,1.36
2017-03,S Fkln,263944.3,-0.01
2017-03,B,4056925.4,1.69
2017-03,M,3389133.3,1.79
2017-03,D,4142693.8,1.35
2017-3,2,5837775.3,1.31
2017-03,S Rock,30631.9,0.56
2017-03,G,1923242.2,1.16
2017-03,C,3127778.2,1.86
2017-03,7,5746878.8,1.27
2017-03,F,6982053.2,1.24
2017-03,JZ,2049005,1.76
2017-03,5,5280163.6,1.49
2017-03,L,4617527.2,1.09
2017-03,W,2228674.9,0.87
2017-04,E,4857864.5,1.33
2017-04,1,6194520.6,0.94
2017-4,B,3614390.4,2.52
2017-04,2,5026882.8,1.03
2017-04,F,6250556,1.28
2017-04,L,4272254.1,1.18
2017-04,R,5078602.3,1.44
2017-04,C,2770431.1,1.76
2017-04,S Fkln,255726,-0.01
2017-04,3,3684842.3,0.77
2017-04,4,5617643.7,1.09
2017-04,A,5555247.7,1.18
2017-04,7,4951237.7,1.25
2017-04,S Rock,28108,0.4
2017-4,M,3027442.1,2.32
2017-04,JZ,1941348,1.47
2017-04,W,2033486.9,0.87
2017-04,5,4526010.6,1.37
2017-04,N,3206374.9,1.22
2017-04,D,3702535.2,1.94
2017-04,S 42nd,1502584.2,0.78
2017-04,Q,4179015.7,1.38
2017-04,6,7702512.9,1.32
2017-04,G,1705958,1.16
2017-5,N,3689393.6,1.72
2017-05,C,3252080.4,1.9
2017-5,JZ,2249380,1.31
2017-05,5,5220862.1,1.44
2017-05,S Rock,32363.6,0.66
2017-05,E,5764391.5,1.37
2017-05,Q,5042974.8,1.78
2017-05,A,6524786.1,1.38
2017-05,7,6048876.4,1.4
2017-05,M,3509658.5,1.94
2017-5,S Fkln,259341.2,0
2017-05,F,7395947.4,1.5
2017-5,S 42nd,1965809.5,0.66
2017-5,4,6744832.8,1.33
2017-05,6,9120458.5,1.39
2017-05,L,4724339.1,0.86
2017-05,1,7536688.6,1.27
2017-05,2,6063286,1.3
2017-05,3,4342612.2,1.11
2017-05,D,4178534,1.56
2017-05,W,2394924.1,1.47
2017-05,R,5824216.2,1.52
2017-05,G,1981862.2,1.52
2017-05,B,4244195.1,1.89
2017-6,S Rock,29211.6,0.4
2017-06,4,6428198.2,1.1
2017-06,L,4722766.4,0.78
2017-06,E,5782802.8,1.19
2017-06,7,5402344.9,1.13
2017-06,JZ,2125553.1,1.47
2017-06,3,4329424.4,1.02
2017-06,1,7477894.3,1.03
2017-06,R,5690478.7,1.48
2017-06,W,2251201.2,0.82
2017-6,B,4136624.9,2.72
2017-6,D,4002154.5,1.93
2017-06,6,8966819.3,1.17
2017-06,F,7110960.8,1.8
2017-06,5,4830011.8,1.24
2017-06,Q,4923466.1,1.23
2017-06,A,6284331,2.22
2017-06,C,3229926.3,2.62
2017-06,G,1959638.9,1.16
2017-06,M,3476067.9,2.45
2017-06,N,3638548.5,1.27
2017-06,2,5840029.8,1.2
2017-06,S Fkln,287381.6,-0.01
2017-6,S 42nd,1770822.8,0.75
2017-7,R,4972782.1,1.33
2017-07,5,4319744.5,1.12
2017-07,M,2473260.1,1.88
2017-07,S Fkln,183613.6,0.05
2017-07,4,5690850.9,1.03
2017-07,L,3661725.2,0.78
2017-07,2,4874151.3,1.4
2017-07,S Rock,35516.4,0.79
2017-07,G,1563951.8,1.06
2017-07,D,3306383.3,1.54
2017-07,F,6024015.3,1.3
2017-7,JZ,1676860,1.06
2017-07,B,3440899.4,1.86
2017-07,S 42nd,1537791.6,0.5
2017-7,W,2076262.6,0.77
2017-07,A,5336768.9,1.7
2017-07,Q,4367625,1.24
2017-07,3,3719663.2,1.14
2017-07,C,2586855.3,1.99
2017-07,1,6555555.1,1.11
2017-07,7,4561447.6,1.05
2017-07,E,4595886.1,1.2
2017-07,6,7632715.1,1.09
2017-7,N,3239648.3,1.14
2017-08,L,4219406,0.91
2017-8,5,5061746,1.22
2017-08,1,7527843.2,1.13
2017-08,7,5822562.5,0.93
2017-08,S Rock,30501.7,0.49
2017-08,4,6768735.3,1.14
2017-08,B,4102397.9,1.6
2017-08,E,5284000.2,1.16
2017-08,6,8845799.1,1.2
2017-8,G,1808932.5,1.17
2017-08,S 42nd,1842886.5,0.37
2017-08,R,5821166.2,1.38
2017-08,N,3763150.8,1.33
2017-08,F,6959349.7,1.41
2017-08,3,4302185.1,1.15
2017-08,M,2972014.3,1.99
2017-08,A,6242222.7,1.32
2017-08,C,3031130.8,1.8
2017-08,D,3870786,1.35
2017-08,S Fkln,230953,0.27
2017-08,W,2404221.6,1.01
2017-08,Q,5087928,1.42
