Month,Max_Temp,Min_Temp
2015-01,55,8
2015-02,43,3
2015-03,62,13
2015-04,77,33
2015-05,87,43
2015-06,90,51
2015-07,95,65
2015-08,92,64
2015-09,93,56
2015-10,74,36
2015-11,75,31
2015-12,70,34
2016-01,58,35
2016-02,62,38
2016-03,72,48
2016-04,78,51
2016-05,87,60
2016-06,92,72
2016-07,98,79
2016-08,95,79
2016-09,91,71
2016-10,86,59
2016-11,73,51
2016-12,62,40
2017-01,61,39
2017-02,68,41
2017-03,64,40
2017-04,85,55
2017-05,92,61
2017-06,94,71
2017-07,95,77
2017-08,88,75
2017-09,92,71
2017-10,84,64
2017-11,73,46
2017-12,58,35
2018-01,54,30
2018-02,65,40
2018-03,62,40
2018-04,70,47
2018-05,84,64
2018-06,91,70
2018-07,94,77
2018-08,92,78
2018-09,93,71
2018-10,80,58
2018-11,66,45
